,CBScode,Perioden,"  HIC: Theft / burglary dwelling, complete","  HIC: Theft / burglary dwelling, attempts",HIC: Violent Crime,HIC: Street Roof,HIC: Robberies,Undermining public order,Threat,Fire / Explosion,"Theft of moped, moped, bike",Theft of / from vehicles,Theft of motor vehicles,Theft / burglary companies / institutions,Theft / burglary garage / barn / shed,Drug trafficking,Trespassing,mistreatment,Overt violence (person),Or destruction. cause damage,Arms Trade,pickpocketing,morals Felony
143,GM0381,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,GM0383,2016JJ00,43.0,23.0,78.0,6.0,0.0,6.0,21.0,5.0,212.0,57.0,14.0,31.0,13.0,5.0,1.0,53.0,4.0,213.0,0.0,18.0,5.0
145,GM0384,2016JJ00,87.0,39.0,148.0,36.0,4.0,7.0,67.0,0.0,132.0,163.0,58.0,72.0,31.0,13.0,1.0,78.0,3.0,135.0,7.0,32.0,5.0
146,GM0385,2016JJ00,30.0,11.0,79.0,3.0,2.0,3.0,22.0,2.0,98.0,42.0,10.0,17.0,5.0,13.0,1.0,53.0,4.0,79.0,3.0,56.0,3.0
147,GM0388,2016JJ00,24.0,8.0,98.0,3.0,1.0,4.0,39.0,7.0,131.0,34.0,8.0,23.0,27.0,4.0,3.0,55.0,4.0,149.0,2.0,4.0,6.0
148,GM0392,2016JJ00,346.0,105.0,730.0,25.0,12.0,111.0,239.0,49.0,1636.0,782.0,131.0,260.0,170.0,83.0,23.0,436.0,55.0,1131.0,48.0,239.0,64.0
149,GM0393,2016JJ00,25.0,20.0,16.0,2.0,1.0,0.0,4.0,0.0,32.0,16.0,7.0,7.0,2.0,48.0,0.0,8.0,4.0,33.0,2.0,14.0,2.0
150,GM0394,2016JJ00,320.0,153.0,406.0,21.0,4.0,18.0,122.0,26.0,424.0,449.0,117.0,303.0,72.0,78.0,10.0,262.0,22.0,725.0,57.0,397.0,36.0
151,GM0396,2016JJ00,73.0,48.0,106.0,1.0,3.0,3.0,29.0,16.0,140.0,76.0,11.0,26.0,41.0,16.0,6.0,70.0,7.0,208.0,7.0,21.0,15.0
152,GM0397,2016JJ00,54.0,23.0,47.0,2.0,0.0,2.0,19.0,2.0,196.0,92.0,8.0,21.0,30.0,2.0,1.0,27.0,1.0,124.0,3.0,13.0,5.0
153,GM0398,2016JJ00,105.0,35.0,332.0,9.0,3.0,4.0,125.0,22.0,294.0,130.0,26.0,97.0,46.0,23.0,10.0,199.0,8.0,454.0,9.0,14.0,21.0
154,GM0399,2016JJ00,73.0,40.0,67.0,1.0,0.0,1.0,37.0,3.0,140.0,27.0,4.0,23.0,26.0,4.0,5.0,30.0,0.0,143.0,0.0,6.0,8.0
155,GM0400,2016JJ00,98.0,30.0,468.0,5.0,5.0,42.0,178.0,48.0,427.0,147.0,10.0,56.0,121.0,52.0,26.0,275.0,15.0,657.0,24.0,23.0,55.0
156,GM0402,2016JJ00,247.0,109.0,434.0,14.0,5.0,20.0,157.0,25.0,510.0,514.0,42.0,173.0,78.0,45.0,11.0,247.0,30.0,673.0,14.0,111.0,27.0
157,GM0405,2016JJ00,107.0,66.0,515.0,18.0,5.0,32.0,176.0,19.0,442.0,253.0,58.0,110.0,66.0,22.0,11.0,309.0,30.0,660.0,26.0,61.0,32.0
158,GM0406,2016JJ00,149.0,111.0,156.0,3.0,1.0,6.0,67.0,17.0,110.0,241.0,15.0,86.0,16.0,12.0,2.0,84.0,5.0,288.0,3.0,20.0,8.0
159,GM0415,2016JJ00,23.0,9.0,37.0,3.0,1.0,1.0,10.0,2.0,33.0,27.0,7.0,17.0,8.0,4.0,0.0,26.0,1.0,65.0,1.0,3.0,1.0
160,GM0416,2016JJ00,31.0,28.0,92.0,0.0,2.0,2.0,31.0,13.0,58.0,43.0,12.0,28.0,20.0,8.0,0.0,61.0,0.0,168.0,1.0,4.0,12.0
161,GM0417,2016JJ00,55.0,21.0,26.0,0.0,0.0,0.0,12.0,0.0,30.0,85.0,1.0,31.0,3.0,1.0,1.0,14.0,0.0,49.0,3.0,6.0,2.0
162,GM0420,2016JJ00,72.0,25.0,148.0,4.0,1.0,5.0,57.0,6.0,61.0,71.0,21.0,45.0,34.0,8.0,1.0,84.0,7.0,183.0,7.0,8.0,10.0
163,GM0424,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,GM0425,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,GM0431,2016JJ00,20.0,22.0,40.0,2.0,0.0,0.0,18.0,1.0,20.0,15.0,4.0,14.0,3.0,29.0,0.0,21.0,1.0,52.0,8.0,5.0,0.0
166,GM0432,2016JJ00,16.0,7.0,39.0,1.0,1.0,1.0,16.0,3.0,15.0,58.0,3.0,8.0,9.0,2.0,0.0,21.0,2.0,41.0,4.0,0.0,1.0
167,GM0437,2016JJ00,27.0,19.0,68.0,4.0,1.0,0.0,31.0,2.0,68.0,104.0,12.0,66.0,28.0,4.0,1.0,37.0,0.0,253.0,7.0,29.0,5.0
168,GM0439,2016JJ00,131.0,81.0,377.0,13.0,8.0,12.0,137.0,21.0,311.0,167.0,37.0,91.0,60.0,40.0,16.0,229.0,11.0,462.0,21.0,83.0,41.0
169,GM0441,2016JJ00,68.0,15.0,200.0,4.0,0.0,10.0,74.0,4.0,138.0,94.0,8.0,57.0,37.0,15.0,2.0,109.0,17.0,234.0,4.0,17.0,18.0
170,GM0448,2016JJ00,12.0,6.0,59.0,1.0,0.0,3.0,24.0,6.0,35.0,9.0,0.0,10.0,3.0,4.0,0.0,27.0,8.0,73.0,4.0,11.0,13.0
171,GM0450,2016JJ00,21.0,7.0,37.0,0.0,0.0,0.0,8.0,4.0,96.0,45.0,2.0,14.0,8.0,2.0,1.0,25.0,4.0,94.0,1.0,6.0,3.0
172,GM0451,2016JJ00,38.0,16.0,131.0,5.0,0.0,3.0,42.0,9.0,78.0,75.0,14.0,33.0,13.0,10.0,1.0,83.0,6.0,163.0,3.0,7.0,6.0
173,GM0453,2016JJ00,126.0,49.0,312.0,5.0,2.0,6.0,105.0,16.0,285.0,164.0,38.0,93.0,86.0,27.0,12.0,181.0,26.0,427.0,22.0,31.0,21.0
174,GM0457,2016JJ00,64.0,38.0,61.0,3.0,1.0,2.0,17.0,6.0,60.0,67.0,17.0,55.0,9.0,5.0,0.0,43.0,1.0,96.0,3.0,12.0,2.0
175,GM0458,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,GM0473,2016JJ00,45.0,17.0,122.0,2.0,0.0,11.0,45.0,5.0,116.0,51.0,21.0,38.0,29.0,10.0,0.0,70.0,7.0,120.0,5.0,21.0,8.0
177,GM0478,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
178,GM0479,2016JJ00,256.0,169.0,712.0,31.0,14.0,20.0,252.0,59.0,958.0,492.0,92.0,243.0,152.0,80.0,21.0,442.0,18.0,839.0,47.0,211.0,52.0
179,GM0482,2016JJ00,24.0,11.0,82.0,2.0,0.0,2.0,31.0,3.0,34.0,34.0,8.0,11.0,12.0,5.0,1.0,41.0,10.0,107.0,3.0,7.0,5.0
180,GM0484,2016JJ00,165.0,116.0,389.0,10.0,6.0,11.0,161.0,17.0,614.0,318.0,34.0,134.0,88.0,45.0,6.0,215.0,13.0,424.0,18.0,44.0,49.0
181,GM0489,2016JJ00,87.0,54.0,125.0,10.0,0.0,0.0,57.0,4.0,414.0,257.0,41.0,65.0,26.0,6.0,7.0,63.0,5.0,180.0,6.0,24.0,19.0
182,GM0491,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,GM0498,2016JJ00,22.0,5.0,60.0,4.0,0.0,1.0,16.0,2.0,58.0,18.0,7.0,11.0,11.0,4.0,2.0,41.0,3.0,63.0,3.0,4.0,2.0
184,GM0499,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,GM0501,2016JJ00,18.0,18.0,54.0,1.0,2.0,4.0,14.0,3.0,54.0,33.0,5.0,14.0,17.0,8.0,0.0,34.0,6.0,110.0,3.0,7.0,4.0
186,GM0502,2016JJ00,169.0,97.0,366.0,30.0,13.0,11.0,168.0,8.0,345.0,298.0,88.0,75.0,109.0,61.0,5.0,174.0,24.0,361.0,27.0,34.0,27.0
187,GM0503,2016JJ00,348.0,134.0,441.0,30.0,2.0,32.0,144.0,29.0,1677.0,402.0,96.0,184.0,118.0,44.0,16.0,284.0,13.0,570.0,20.0,133.0,48.0
188,GM0505,2016JJ00,198.0,56.0,757.0,43.0,10.0,54.0,273.0,51.0,778.0,569.0,78.0,160.0,151.0,178.0,17.0,442.0,42.0,829.0,93.0,96.0,63.0
189,GM0512,2016JJ00,55.0,23.0,166.0,5.0,0.0,6.0,57.0,14.0,301.0,230.0,9.0,45.0,30.0,32.0,3.0,100.0,9.0,279.0,25.0,19.0,22.0
190,GM0513,2016JJ00,341.0,298.0,437.0,11.0,3.0,25.0,179.0,28.0,550.0,380.0,39.0,139.0,87.0,38.0,5.0,246.0,12.0,636.0,26.0,62.0,32.0
191,GM0518,2016JJ00,1462.0,807.0,3996.0,242.0,44.0,386.0,1600.0,189.0,6061.0,2819.0,654.0,1027.0,582.0,666.0,106.0,2306.0,90.0,3820.0,294.0,1588.0,287.0
192,GM0523,2016JJ00,18.0,8.0,20.0,0.0,0.0,3.0,5.0,1.0,47.0,34.0,5.0,11.0,5.0,11.0,0.0,14.0,1.0,52.0,10.0,3.0,4.0
193,GM0530,2016JJ00,44.0,14.0,165.0,5.0,4.0,3.0,59.0,11.0,107.0,311.0,10.0,32.0,29.0,20.0,3.0,92.0,14.0,207.0,5.0,10.0,14.0
194,GM0531,2016JJ00,51.0,26.0,42.0,1.0,2.0,0.0,15.0,2.0,86.0,135.0,31.0,19.0,14.0,11.0,1.0,27.0,0.0,145.0,5.0,7.0,9.0
195,GM0532,2016JJ00,24.0,9.0,86.0,3.0,0.0,4.0,27.0,4.0,136.0,34.0,6.0,20.0,22.0,7.0,5.0,55.0,4.0,87.0,5.0,6.0,10.0
196,GM0534,2016JJ00,37.0,14.0,85.0,1.0,0.0,4.0,27.0,6.0,62.0,50.0,7.0,26.0,12.0,14.0,1.0,55.0,3.0,89.0,6.0,4.0,6.0
197,GM0537,2016JJ00,60.0,29.0,177.0,1.0,0.0,12.0,68.0,8.0,304.0,94.0,13.0,58.0,57.0,52.0,3.0,102.0,7.0,239.0,10.0,20.0,18.0
198,GM0542,2016JJ00,21.0,13.0,75.0,2.0,4.0,1.0,31.0,3.0,70.0,73.0,15.0,29.0,8.0,15.0,0.0,43.0,1.0,105.0,4.0,8.0,15.0
199,GM0545,2016JJ00,41.0,15.0,51.0,2.0,5.0,2.0,17.0,10.0,73.0,102.0,7.0,33.0,13.0,14.0,1.0,32.0,2.0,132.0,6.0,11.0,12.0
200,GM0546,2016JJ00,162.0,67.0,639.0,22.0,7.0,56.0,204.0,38.0,1455.0,503.0,82.0,202.0,103.0,106.0,15.0,398.0,37.0,679.0,37.0,179.0,71.0
201,GM0547,2016JJ00,26.0,13.0,69.0,1.0,0.0,1.0,23.0,25.0,122.0,163.0,11.0,13.0,12.0,9.0,6.0,44.0,2.0,87.0,2.0,9.0,6.0
202,GM0553,2016JJ00,28.0,10.0,82.0,2.0,1.0,3.0,19.0,3.0,88.0,98.0,13.0,30.0,32.0,11.0,1.0,58.0,5.0,105.0,4.0,60.0,15.0
203,GM0556,2016JJ00,97.0,56.0,110.0,8.0,1.0,3.0,43.0,11.0,180.0,153.0,17.0,108.0,50.0,7.0,0.0,65.0,2.0,250.0,7.0,14.0,11.0
204,GM0568,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,GM0569,2016JJ00,39.0,12.0,48.0,0.0,0.0,3.0,23.0,2.0,40.0,26.0,10.0,25.0,14.0,7.0,0.0,24.0,1.0,86.0,2.0,1.0,3.0
206,GM0575,2016JJ00,56.0,12.0,135.0,3.0,2.0,13.0,44.0,3.0,136.0,63.0,4.0,43.0,43.0,20.0,4.0,89.0,2.0,153.0,4.0,16.0,12.0
207,GM0576,2016JJ00,23.0,11.0,42.0,0.0,2.0,2.0,14.0,3.0,48.0,18.0,4.0,33.0,19.0,15.0,2.0,27.0,1.0,53.0,2.0,3.0,14.0
208,GM0579,2016JJ00,35.0,20.0,50.0,2.0,0.0,0.0,14.0,4.0,74.0,115.0,9.0,26.0,14.0,19.0,3.0,35.0,1.0,47.0,4.0,7.0,9.0
209,GM0584,2016JJ00,3.0,5.0,62.0,4.0,1.0,5.0,18.0,3.0,60.0,60.0,13.0,16.0,6.0,14.0,0.0,38.0,6.0,129.0,5.0,4.0,12.0
210,GM0585,2016JJ00,20.0,18.0,73.0,2.0,1.0,3.0,25.0,3.0,18.0,63.0,7.0,12.0,12.0,30.0,0.0,44.0,4.0,114.0,7.0,2.0,4.0
211,GM0588,2016JJ00,9.0,1.0,14.0,0.0,0.0,0.0,7.0,0.0,5.0,2.0,2.0,2.0,3.0,6.0,1.0,7.0,0.0,50.0,4.0,1.0,4.0
212,GM0589,2016JJ00,8.0,5.0,12.0,0.0,0.0,1.0,3.0,0.0,19.0,15.0,3.0,6.0,4.0,1.0,0.0,5.0,4.0,33.0,0.0,0.0,1.0
213,GM0590,2016JJ00,45.0,16.0,74.0,5.0,0.0,4.0,30.0,11.0,95.0,114.0,17.0,25.0,31.0,10.0,2.0,42.0,2.0,202.0,11.0,13.0,18.0
214,GM0597,2016JJ00,87.0,50.0,148.0,16.0,3.0,1.0,41.0,15.0,254.0,279.0,58.0,46.0,33.0,16.0,3.0,95.0,12.0,233.0,8.0,14.0,30.0
215,GM0599,2016JJ00,1942.0,948.0,5503.0,624.0,125.0,501.0,2261.0,188.0,7863.0,5706.0,982.0,1201.0,997.0,941.0,121.0,2839.0,403.0,4837.0,528.0,1869.0,421.0
216,GM0603,2016JJ00,116.0,73.0,268.0,21.0,5.0,11.0,109.0,13.0,566.0,323.0,94.0,125.0,34.0,47.0,5.0,150.0,9.0,271.0,23.0,75.0,26.0
217,GM0606,2016JJ00,202.0,97.0,557.0,43.0,19.0,20.0,243.0,18.0,676.0,656.0,107.0,188.0,138.0,44.0,6.0,286.0,28.0,597.0,27.0,82.0,37.0
218,GM0608,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,GM0610,2016JJ00,19.0,7.0,70.0,1.0,0.0,0.0,21.0,4.0,71.0,105.0,13.0,28.0,8.0,7.0,0.0,43.0,6.0,102.0,6.0,3.0,17.0
220,GM0611,2016JJ00,12.0,7.0,18.0,0.0,0.0,1.0,4.0,0.0,19.0,54.0,2.0,12.0,6.0,15.0,0.0,13.0,1.0,34.0,4.0,0.0,7.0
221,GM0612,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,GM0613,2016JJ00,55.0,29.0,116.0,3.0,3.0,2.0,49.0,12.0,140.0,92.0,19.0,21.0,13.0,6.0,0.0,62.0,5.0,130.0,2.0,3.0,4.0
223,GM0614,2016JJ00,45.0,17.0,53.0,0.0,0.0,3.0,26.0,5.0,22.0,26.0,6.0,8.0,36.0,6.0,1.0,24.0,3.0,64.0,0.0,2.0,8.0
224,GM0617,2016JJ00,9.0,3.0,22.0,0.0,0.0,0.0,5.0,0.0,6.0,28.0,2.0,9.0,8.0,4.0,0.0,16.0,1.0,33.0,1.0,0.0,3.0
225,GM0620,2016JJ00,24.0,14.0,70.0,0.0,1.0,2.0,29.0,2.0,59.0,113.0,17.0,19.0,8.0,11.0,3.0,38.0,3.0,94.0,2.0,4.0,5.0
226,GM0622,2016JJ00,193.0,105.0,411.0,27.0,15.0,14.0,158.0,44.0,752.0,444.0,54.0,234.0,173.0,39.0,2.0,231.0,22.0,568.0,39.0,61.0,50.0
227,GM0623,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,GM0626,2016JJ00,48.0,21.0,64.0,5.0,1.0,1.0,25.0,1.0,98.0,102.0,14.0,22.0,23.0,9.0,5.0,38.0,1.0,101.0,2.0,5.0,4.0
229,GM0627,2016JJ00,130.0,82.0,67.0,2.0,2.0,6.0,26.0,1.0,118.0,94.0,15.0,41.0,22.0,7.0,3.0,36.0,5.0,130.0,4.0,10.0,3.0
230,GM0629,2016JJ00,70.0,24.0,81.0,1.0,0.0,4.0,32.0,4.0,56.0,89.0,7.0,24.0,15.0,9.0,10.0,46.0,3.0,96.0,2.0,18.0,13.0
231,GM0632,2016JJ00,98.0,71.0,132.0,8.0,1.0,11.0,42.0,8.0,212.0,286.0,20.0,63.0,28.0,18.0,2.0,79.0,11.0,243.0,13.0,16.0,10.0
232,GM0637,2016JJ00,173.0,128.0,660.0,46.0,8.0,39.0,265.0,35.0,502.0,433.0,149.0,159.0,93.0,63.0,17.0,366.0,29.0,713.0,36.0,103.0,41.0
233,GM0638,2016JJ00,15.0,7.0,16.0,0.0,0.0,0.0,2.0,1.0,23.0,14.0,4.0,5.0,7.0,4.0,0.0,13.0,1.0,38.0,1.0,4.0,0.0
234,GM0642,2016JJ00,80.0,30.0,169.0,11.0,4.0,4.0,67.0,12.0,285.0,264.0,42.0,45.0,46.0,21.0,0.0,93.0,9.0,274.0,12.0,22.0,17.0
235,GM0643,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,GM0644,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,GM0653,2016JJ00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,GM0654,2016JJ00,25.0,5.0,38.0,0.0,0.0,3.0,20.0,5.0,10.0,19.0,5.0,18.0,7.0,9.0,1.0,17.0,1.0,55.0,5.0,2.0,3.0
239,GM0664,2016JJ00,46.0,20.0,245.0,4.0,4.0,29.0,88.0,7.0,161.0,77.0,14.0,50.0,16.0,37.0,8.0,140.0,17.0,251.0,11.0,26.0,26.0
240,GM0668,2016JJ00,33.0,8.0,31.0,0.0,2.0,0.0,11.0,3.0,34.0,29.0,3.0,16.0,19.0,7.0,0.0,20.0,0.0,59.0,1.0,2.0,2.0
241,GM0677,2016JJ00,46.0,13.0,97.0,7.0,0.0,6.0,32.0,6.0,41.0,36.0,3.0,23.0,13.0,25.0,1.0,59.0,6.0,139.0,1.0,5.0,5.0
242,GM0678,2016JJ00,14.0,5.0,22.0,0.0,0.0,0.0,10.0,1.0,29.0,18.0,3.0,18.0,8.0,1.0,1.0,12.0,0.0,33.0,1.0,3.0,6.0
243,GM0687,2016JJ00,52.0,28.0,234.0,4.0,3.0,10.0,90.0,22.0,355.0,40.0,10.0,52.0,34.0,38.0,4.0,142.0,2.0,351.0,18.0,31.0,39.0
244,GM0689,2016JJ00,25.0,6.0,16.0,0.0,0.0,1.0,6.0,1.0,22.0,41.0,4.0,12.0,24.0,15.0,2.0,10.0,0.0,44.0,2.0,1.0,5.0
245,GM0703,2016JJ00,33.0,16.0,49.0,0.0,0.0,0.0,26.0,6.0,87.0,39.0,7.0,23.0,11.0,12.0,0.0,20.0,3.0,79.0,2.0,3.0,8.0
246,GM0707,2016JJ00,21.0,9.0,28.0,0.0,0.0,4.0,16.0,2.0,16.0,45.0,5.0,10.0,9.0,11.0,0.0,10.0,2.0,16.0,5.0,1.0,2.0
247,GM0715,2016JJ00,95.0,36.0,292.0,3.0,5.0,16.0,114.0,16.0,188.0,79.0,24.0,76.0,27.0,48.0,7.0,168.0,10.0,345.0,15.0,17.0,29.0
248,GM0716,2016JJ00,29.0,15.0,63.0,0.0,2.0,2.0,23.0,4.0,25.0,51.0,4.0,20.0,15.0,7.0,0.0,38.0,2.0,119.0,3.0,3.0,11.0
